wowping 1.4 - wowping@tanstaafl.com.au
Data gathered on Wed Feb  6 15:01:49 WST 2008
+---------+------------------------+--------+--------+-----------+
| Latency | Server name            | Type   | Region | Timezone/ |
|         |                        |        |        | language  |
+---------+------------------------+--------+--------+-----------+
| 0.234   | Ner'zhul               | PvP    | US     | Pacific   |
| 0.234   | Stormscale             | PvP    | US     | Pacific   |
| 0.234   | Suramar                | PvE    | US     | Pacific   |
| 0.235   | Aegwynn                | PvP    | US     | Central   |
| 0.235   | Aman'Thul              | PvE    | US     | Oceanic   |
| 0.235   | Azjol-Nerub            | PvE    | US     | Mountain  |
| 0.235   | Barthilas              | PvP    | US     | Oceanic   |
| 0.235   | Bronzebeard            | PvE    | US     | Pacific   |
| 0.235   | Dragonmaw              | PvP    | US     | Pacific   |
| 0.235   | Dunemaul               | PvP    | US     | Pacific   |
| 0.235   | Khaz Modan             | PvE    | US     | Central   |
| 0.235   | Kil'jaeden             | PvP    | US     | Pacific   |
| 0.235   | Nathrezim              | PvP    | US     | Mountain  |
| 0.235   | Perenolde              | PvP    | US     | Mountain  |
| 0.235   | Runetotem              | PvE    | US     | Central   |
| 0.235   | Stonemaul              | PvP    | US     | Pacific   |
| 0.235   | Tichondrius            | PvP    | US     | Pacific   |
| 0.235   | Uldum                  | PvE    | US     | Pacific   |
| 0.235   | Windrunner             | PvE    | US     | Pacific   |
| 0.236   | Blackrock              | PvP    | US     | Pacific   |
| 0.236   | Bloodscalp             | PvP    | US     | Mountain  |
| 0.236   | Boulderfist            | PvP    | US     | Pacific   |
| 0.236   | Caelestrasz            | PvE    | US     | Oceanic   |
| 0.236   | Kul Tiras              | PvE    | US     | Central   |
| 0.236   | Sen'jin                | PvE    | US     | Central   |
| 0.236   | Smolderthorn           | PvP    | US     | Eastern   |
| 0.236   | Thorium Brotherhood    | RP     | US     | Central   |
| 0.237   | Skywall                | PvE    | US     | Pacific   |
| 0.247   | Akama                  | PvP    | US     | Central   |
| 0.247   | Arathor                | PvE    | US     | Pacific   |
| 0.247   | Daggerspine            | PvP    | US     | Pacific   |
| 0.247   | Draenor                | PvE    | US     | Pacific   |
| 0.247   | Dragonblight           | PvE    | US     | Pacific   |
| 0.247   | Eitrigg                | PvE    | US     | Central   |
| 0.247   | Feathermoon            | RP     | US     | Pacific   |
| 0.247   | Frostmane              | PvP    | US     | Central   |
| 0.247   | Frostmourne            | PvP    | US     | Oceanic   |
| 0.247   | Garithos               | PvP    | US     | Central   |
| 0.247   | Korgath                | PvP    | US     | Central   |
| 0.247   | Muradin                | PvE    | US     | Central   |
| 0.247   | Nagrand                | PvE    | US     | Oceanic   |
| 0.247   | Proudmoore             | PvE    | US     | Pacific   |
| 0.247   | Rexxar                 | PvE    | US     | Central   |
| 0.247   | Scarlet Crusade        | RP     | US     | Central   |
| 0.247   | Shadowsong             | PvE    | US     | Pacific   |
| 0.247   | Silvermoon             | PvE    | US     | Pacific   |
| 0.247   | Spirestone             | PvP    | US     | Pacific   |
| 0.247   | Thaurissan             | PvP    | US     | Oceanic   |
| 0.248   | Bonechewer             | PvP    | US     | Pacific   |
| 0.248   | Chromaggus             | PvP    | US     | Central   |
| 0.248   | Dath'Remar             | PvE    | US     | Oceanic   |
| 0.248   | Draka                  | PvE    | US     | Central   |
| 0.248   | Drak'thul              | PvP    | US     | Central   |
| 0.248   | Eldre'Thalas           | PvE    | US     | Eastern   |
| 0.248   | Firetree               | PvP    | US     | Eastern   |
| 0.248   | Gurubashi              | PvP    | US     | Pacific   |
| 0.248   | Hakkar                 | PvP    | US     | Central   |
| 0.248   | Jubei'Thos             | PvP    | US     | Oceanic   |
| 0.248   | Khaz'goroth            | PvE    | US     | Oceanic   |
| 0.248   | Kilrogg                | PvE    | US     | Pacific   |
| 0.248   | Malorne                | PvP    | US     | Central   |
| 0.248   | Mug'thol               | PvP    | US     | Central   |
| 0.248   | Shadow Council         | RP     | US     | Mountain  |
| 0.248   | Silver Hand            | RP     | US     | Pacific   |
| 0.248   | Terenas                | PvE    | US     | Mountain  |
| 0.248   | Vek'nilash             | PvE    | US     | Central   |
| 0.249   | Darkspear              | PvP    | US     | Mountain  |
| 0.250   | Crushridge             | PvP    | US     | Pacific   |
| 0.250   | Frostwolf              | PvP    | US     | Pacific   |
| 0.253   | Antonidas              | PvE    | US     | Pacific   |
| 0.253   | Anub'arak              | PvP    | US     | Central   |
| 0.253   | Blackwater Raiders     | RP     | US     | Pacific   |
| 0.253   | Cenarion Circle        | RP     | US     | Pacific   |
| 0.253   | Darrowmere             | PvP    | US     | Pacific   |
| 0.253   | Drenden                | PvE    | US     | Eastern   |
| 0.253   | Hydraxis               | PvE    | US     | Central   |
| 0.253   | Hyjal                  | PvE    | US     | Pacific   |
| 0.253   | Korialstrasz           | PvE    | US     | Pacific   |
| 0.253   | Misha                  | PvE    | US     | Pacific   |
| 0.253   | Mok'Nathal             | PvE    | US     | Pacific   |
| 0.253   | Moon Guard             | RP     | US     | Central   |
| 0.253   | The Forgotten Coast    | PvP    | US     | Eastern   |
| 0.254   | Rivendare              | PvP    | US     | Pacific   |
| 0.254   | Shandris               | PvE    | US     | Eastern   |
| 0.254   | Shu'halo               | PvE    | US     | Pacific   |
| 0.254   | Sisters of Elune       | RP     | US     | Central   |
| 0.254   | Uther                  | PvE    | US     | Pacific   |
| 0.264   | Bladefist              | PvE    | US     | Pacific   |
| 0.264   | Echo Isles             | PvE    | US     | Pacific   |
| 0.265   | Cenarius               | PvE    | US     | Pacific   |
| 0.265   | Fenris                 | PvE    | US     | Eastern   |
| 0.265   | Lightbringer           | PvE    | US     | Pacific   |
| 0.265   | Maiev                  | PvP    | US     | Pacific   |
| 0.265   | Nazgrel                | PvE    | US     | Eastern   |
| 0.265   | Nordrassil             | PvE    | US     | Pacific   |
| 0.265   | Ravenholdt             | RP-PvP | US     | Eastern   |
| 0.265   | Tortheldrin            | PvP    | US     | Eastern   |
| 0.265   | Vashj                  | PvP    | US     | Pacific   |
| 0.267   | Agamaggan              | PvP    | US     | Central   |
| 0.267   | Alleria                | PvE    | US     | Central   |
| 0.267   | Azshara                | PvP    | US     | Eastern   |
| 0.267   | Balnazzar              | PvP    | US     | Central   |
| 0.267   | Farstriders            | RP     | US     | Central   |
| 0.267   | Garona                 | PvE    | US     | Central   |
| 0.267   | Gul'dan                | PvP    | US     | Central   |
| 0.267   | Hellscream             | PvE    | US     | Central   |
| 0.267   | Ravencrest             | PvE    | US     | Central   |
| 0.267   | Spinebreaker           | PvP    | US     | Pacific   |
| 0.267   | Staghelm               | PvE    | US     | Central   |
| 0.267   | Stormreaver            | PvP    | US     | Central   |
| 0.268   | Alexstrasza            | PvE    | US     | Central   |
| 0.268   | Baelgun                | PvE    | US     | Pacific   |
| 0.268   | Blackhand              | PvE    | US     | Central   |
| 0.268   | Cho'gall               | PvP    | US     | Central   |
| 0.268   | Dark Iron              | PvP    | US     | Pacific   |
| 0.268   | Gorgonnash             | PvP    | US     | Pacific   |
| 0.268   | Illidan                | PvP    | US     | Central   |
| 0.268   | Kalecgos               | PvP    | US     | Pacific   |
| 0.268   | Malfurion              | PvE    | US     | Central   |
| 0.268   | Nazjatar               | PvP    | US     | Pacific   |
| 0.268   | Sargeras               | PvP    | US     | Central   |
| 0.268   | Twisting Nether        | RP-PvP | US     | Central   |
| 0.269   | Destromath             | PvP    | US     | Pacific   |
| 0.269   | Detheroc               | PvP    | US     | Central   |
| 0.269   | Emerald Dream          | RP-PvP | US     | Central   |
| 0.269   | Kirin Tor              | RP     | US     | Central   |
| 0.269   | Maelstrom              | RP-PvP | US     | Central   |
| 0.269   | Whisperwind            | PvE    | US     | Central   |
| 0.273   | Stormrage              | PvE    | US     | Eastern   |
| 0.274   | Azgalor                | PvP    | US     | Central   |
| 0.274   | Bleeding Hollow        | PvP    | US     | Eastern   |
| 0.274   | Burning Legion         | PvP    | US     | Central   |
| 0.274   | Earthen Ring           | RP     | US     | Eastern   |
| 0.274   | Eonar                  | PvE    | US     | Eastern   |
| 0.274   | Gorefiend              | PvP    | US     | Eastern   |
| 0.274   | Kargath                | PvE    | US     | Eastern   |
| 0.274   | Lightning's Blade      | PvP    | US     | Eastern   |
| 0.274   | Magtheridon            | PvP    | US     | Eastern   |
| 0.274   | Medivh                 | PvE    | US     | Eastern   |
| 0.274   | Skullcrusher           | PvP    | US     | Eastern   |
| 0.274   | Zul'jin                | PvE    | US     | Eastern   |
| 0.275   | Arthas                 | PvP    | US     | Eastern   |
| 0.275   | Gilneas                | PvE    | US     | Eastern   |
| 0.275   | Llane                  | PvE    | US     | Eastern   |
| 0.276   | Aggramar               | PvE    | US     | Central   |
| 0.277   | Madoran                | PvE    | US     | Central   |
| 0.277   | Malygos                | PvE    | US     | Central   |
| 0.277   | Shattered Hand         | PvP    | US     | Eastern   |
| 0.277   | Thunderhorn            | PvE    | US     | Central   |
| 0.277   | Thunderlord            | PvP    | US     | Central   |
| 0.277   | Warsong                | PvP    | US     | Eastern   |
| 0.278   | Argent Dawn            | RP     | US     | Eastern   |
| 0.278   | Lothar                 | PvE    | US     | Eastern   |
| 0.279   | Burning Blade          | PvP    | US     | Eastern   |
| 0.282   | Eredar                 | PvP    | US     | Eastern   |
| 0.282   | Moonrunner             | PvE    | US     | Pacific   |
| 0.285   | Lightninghoof          | RP-PvP | US     | Central   |
| 0.286   | Dethecus               | PvP    | US     | Pacific   |
| 0.286   | Ursin                  | PvP    | US     | Pacific   |
| 0.286   | Wildhammer             | PvP    | US     | Central   |
| 0.290   | Bloodhoof              | PvE    | US     | Eastern   |
